Date,Initialprice,Discount
2019-07-08,19.99,80
2019-12-02,19.99,90
2020-01-01,19.99,90
2020-01-26,19.99,30
2020-02-05,19.99,90
2020-07-08,29.99,30
2019-07-08,59.99,75
2019-07-21,59.99,75
2019-12-02,59.99,75
2020-01-01,59.99,75
2020-01-26,59.99,30
2020-02-27,59.99,75
2020-07-08,59.99,75
2019-07-08,79.99,70
2019-08-04,79.99,50
2019-12-02,79.99,70
2020-01-01,79.99,70
2020-01-26,79.99,30
2020-02-27,79.99,70
2020-07-08,79.99,70
2019-06-02,29.99,60
2019-07-08,29.99,50
2019-08-04,29.99,50
2019-12-02,29.99,60
2020-01-01,29.99,60
2020-01-26,29.99,30
2020-02-27,29.99,60
2020-07-08,29.99,60
2019-07-08,79.99,50
2019-07-08,39.99,50
2019-08-04,39.99,50
2019-12-02,39.99,60
2020-01-01,39.99,60
2020-01-26,39.99,30
2020-02-27,39.99,60
2020-07-08,39.99,60
2019-07-08,39.99,50
2019-07-21,39.99,75
2019-12-02,39.99,75
2020-01-01,39.99,75
2020-01-26,39.99,30
2020-02-27,39.99,76
2020-07-08,39.99,76
2019-05-19,29.99,70
2019-07-08,29.99,67
2019-10-20,29.99,70
2019-12-02,29.99,70
2020-01-01,29.99,70
2020-01-26,29.99,30
2020-02-27,29.99,70
2020-05-31,29.99,70
2020-07-08,29.99,70
2019-07-08,39.99,50
2019-07-21,39.99,50
2019-08-30,39.99,65
2019-12-02,39.99,65
2020-01-01,39.99,65
2020-01-26,39.99,30
2020-02-27,39.99,65
2020-07-08,39.99,65
