Date,Initialprice,Discount
2019-05-08,9.99,90
2019-05-29,39.99,88
2019-07-08,9.99,90
2019-08-21,39.99,88
2019-10-31,9.99,90
2019-11-11,9.99,90
2019-12-02,9.99,90
2019-12-08,9.99,90
2020-01-26,9.99,90
2020-03-25,9.99,90
2020-04-26,9.99,90
2020-05-20,9.99,90
2020-07-17,39.99,90
2020-08-05,9.99,90
2019-04-17,9.99,80
2019-05-08,34.99,90
2019-07-08,9.99,90
2019-08-07,34.99,90
2019-10-02,34.99,90
2019-10-31,9.99,90
2019-11-19,9.99,90
2019-12-02,9.99,90
2019-12-08,9.99,90
2020-01-26,9.99,90
2020-04-01,34.99,90
2020-04-26,9.99,90
2020-05-27,34.99,90
2020-07-08,9.99,90
2020-08-05,9.99,90
2019-05-19,19.99,70
2019-06-12,19.99,75
2019-07-08,19.99,75
2019-08-28,19.99,75
2019-10-31,19.99,75
2019-11-11,19.99,75
2019-12-02,19.99,75
2019-12-08,19.99,85
2020-01-01,19.99,85
2020-01-26,19.99,90
2020-03-25,19.99,85
2020-04-26,19.99,90
2020-05-20,19.99,90
2020-07-22,19.99,90
2019-04-24,29.99,85
2019-05-19,29.99,85
2019-07-08,29.99,85
2019-08-07,29.99,85
2019-10-02,29.99,85
2019-10-31,29.99,90
2019-11-11,29.99,90
2019-12-02,29.99,90
2019-12-08,29.99,90
2020-01-01,29.99,90
2020-01-26,29.99,90
2020-03-04,29.99,90
2020-04-26,29.99,90
2020-07-08,29.99,90
2020-08-12,29.99,90
2019-04-10,29.99,80
2019-06-19,29.99,80
2019-07-08,19.99,90
2019-08-28,129.99,90
2019-09-18,29.99,80
2019-10-31,19.99,90
2019-11-19,29.99,80
2019-12-02,19.99,90
2019-12-08,19.99,90
2020-01-26,19.99,90
2020-02-19,129.99,90
2020-03-25,19.99,90
2020-04-15,129.99,90
2020-04-26,19.99,90
2020-05-20,19.99,90
2020-06-10,129.99,90
2020-08-05,129.99,90
2019-05-29,19.99,50
2019-07-08,19.99,50
2019-08-21,19.99,50
2019-10-31,19.99,50
2019-11-11,19.99,50
2019-12-02,19.99,50
2019-12-08,19.99,50
2020-01-01,19.99,33
2020-01-26,19.99,33
2020-02-19,19.99,33
2020-04-26,19.99,33
2020-07-08,19.99,33
2019-04-10,14.99,50
2019-04-21,14.99,50
2019-07-08,14.99,34
2019-10-31,14.99,34
2019-11-11,14.99,50
2019-12-02,14.99,34
2019-12-08,14.99,50
2020-01-15,14.99,34
2020-01-26,14.99,50
2020-03-30,14.99,34
2020-04-26,14.99,50
2020-07-08,14.99,50
2019-04-25,39.99,66
2019-06-19,39.99,66
2019-07-08,39.99,66
2019-08-21,39.99,66
2019-10-16,39.99,66
2019-10-31,39.99,75
2019-11-11,39.99,75
2019-12-02,39.99,75
2019-12-08,39.99,75
2020-01-01,39.99,75
2020-01-26,39.99,75
2020-02-26,39.99,75
2020-04-26,39.99,75
2020-07-17,39.99,85
2020-07-22,39.99,85
