Date,Initialprice,Discount
2019-05-05,5.99,35
2019-07-08,5.99,35
2019-09-01,7.99,35
2019-10-20,7.99,35
2019-10-31,7.99,35
2019-11-11,7.99,35
2019-12-02,7.99,35
2020-01-01,7.99,35
2020-01-26,7.99,35
2020-04-05,7.99,25
2020-07-08,14.99,20
2019-06-09,19.99,60
2019-06-28,19.99,60
2019-07-08,19.99,60
2019-08-04,19.99,60
2019-10-20,19.99,70
2019-10-31,19.99,70
2019-11-11,19.99,70
2019-12-02,19.99,70
2020-01-01,19.99,70
2020-01-26,19.99,70
2020-04-13,19.99,60
2020-06-03,19.99,70
2020-07-08,19.99,70
2019-06-02,39.99,70
2019-07-08,39.99,70
2019-08-04,39.99,70
2019-10-20,39.99,75
2019-10-31,39.99,75
2019-11-11,39.99,75
2019-12-02,39.99,75
2020-01-01,39.99,75
2020-01-26,39.99,75
2020-04-17,39.99,75
2020-06-03,39.99,75
2020-07-08,39.99,80
2020-08-02,39.99,75
2019-05-26,14.99,75
2019-07-08,14.99,80
2019-07-31,14.99,80
2019-10-20,14.99,75
2019-10-31,14.99,75
2019-11-11,14.99,80
2019-12-02,14.99,80
2020-01-01,14.99,80
2020-01-26,14.99,80
2020-03-29,14.99,80
2020-06-03,14.99,80
2020-07-08,14.99,80
2020-08-09,14.99,80
2019-05-26,14.99,75
2019-07-08,14.99,80
2019-07-31,14.99,80
2019-10-20,14.99,80
2019-10-31,14.99,80
2019-11-11,14.99,80
2019-12-02,14.99,80
2020-01-01,14.99,80
2020-01-26,14.99,80
2020-06-03,14.99,80
2020-07-08,14.99,80
2020-08-09,14.99,33
2019-04-11,14.99,80
2019-05-26,14.99,75
2019-07-08,14.99,80
2019-07-31,14.99,80
2019-10-20,14.99,80
2019-10-31,14.99,80
2019-11-11,14.99,80
2019-12-02,14.99,80
2020-01-01,14.99,80
2020-01-26,14.99,80
2020-03-29,14.99,80
2020-06-03,14.99,80
2020-07-08,14.99,80
2020-08-09,14.99,80
2019-05-19,14.99,75
2019-07-08,14.99,75
2019-07-21,14.99,75
2019-10-20,14.99,80
2019-10-31,14.99,80
2019-11-11,14.99,75
2019-12-02,14.99,75
2020-01-01,14.99,75
2020-01-26,14.99,75
2020-04-12,14.99,75
2020-06-03,14.99,75
2020-07-08,14.99,75
2020-08-02,14.99,75
2019-05-05,29.99,75
2019-07-08,29.99,75
2019-07-21,29.99,75
2019-10-20,29.99,80
2019-10-31,29.99,80
2019-11-11,29.99,75
2019-12-02,29.99,75
2020-01-01,29.99,75
2020-01-26,29.99,75
2020-04-12,29.99,75
2020-06-03,29.99,75
2020-07-08,29.99,75
2020-07-26,29.99,75
2019-05-26,24.99,75
2019-07-08,24.99,80
2019-07-31,24.99,80
2019-10-20,24.99,80
2019-10-31,24.99,80
2019-11-11,24.99,80
2019-12-02,24.99,80
2020-01-01,24.99,80
2020-01-26,24.99,80
2020-03-29,24.99,80
2020-06-03,24.99,80
2020-07-08,24.99,80
2020-08-09,24.99,80
2019-05-26,19.99,75
2019-07-08,19.99,80
2019-07-31,19.99,80
2019-09-29,19.99,75
2019-10-20,19.99,80
2019-10-31,19.99,80
2019-11-11,19.99,80
2019-12-02,19.99,80
2020-01-01,19.99,80
2020-01-26,19.99,80
2020-03-29,19.99,80
2020-06-03,19.99,80
2020-07-08,19.99,80
2020-08-09,19.99,80
2019-05-19,16.99,66
2019-07-08,16.99,66
2019-09-01,16.99,75
2019-10-20,16.99,75
2019-10-31,16.99,75
2019-11-11,16.99,75
2019-11-24,16.99,75
2019-12-02,16.99,75
2020-01-01,16.99,75
2020-01-26,16.99,75
2020-02-05,16.99,75
2020-04-20,16.99,75
2020-05-28,16.99,75
2020-06-03,16.99,75
2020-07-08,16.99,75
2019-04-11,17.99,75
2019-06-09,17.99,75
2019-07-08,17.99,75
2019-08-04,17.99,75
2019-10-20,17.99,75
2019-10-31,17.99,75
2019-11-11,17.99,75
2019-12-02,17.99,75
2020-01-01,17.99,75
2020-01-26,17.99,75
2020-04-05,17.99,75
2020-06-03,17.99,75
2020-07-08,17.99,75
2019-05-26,29.99,66
2019-07-08,29.99,66
2019-07-31,29.99,66
2019-10-20,29.99,75
2019-10-31,29.99,75
2019-11-11,29.99,75
2019-12-02,29.99,75
2020-01-01,29.99,75
2020-01-26,29.99,75
2020-06-03,29.99,75
2020-07-08,29.99,75
2020-08-11,29.99,75
