Date,Initialprice,Discount
2019-05-17,49.99,67
2019-07-08,59.99,60
2019-08-24,49.99,67
2019-10-31,49.99,67
2019-11-10,59.99,75
2019-12-02,49.99,75
2020-01-01,49.99,75
2020-01-26,49.99,75
2020-03-29,49.99,70
2020-07-08,49.99,70
2020-08-06,49.99,80
2019-05-17,19.99,50
2019-07-08,19.99,50
2019-08-24,19.99,50
2019-11-10,19.99,50
2019-11-26,19.99,50
2019-12-02,19.99,50
2019-12-13,19.99,50
2020-01-01,19.99,50
2020-01-26,19.99,50
2020-03-29,19.99,50
2020-08-06,19.99,50
2019-05-21,49.99,50
2019-06-28,49.99,40
2019-07-08,49.99,40
2019-10-31,49.99,60
2019-11-10,49.99,60
2019-11-24,49.99,70
2019-12-02,49.99,70
2019-12-13,49.99,70
2020-01-01,49.99,70
2020-01-26,49.99,70
2020-03-08,49.99,70
2020-04-09,49.99,70
2020-07-08,49.99,70
2019-07-08,19.99,75
2019-08-24,19.99,75
2019-09-14,19.99,75
2019-10-31,19.99,75
2019-11-10,19.99,75
2019-12-02,19.99,75
2020-01-01,19.99,75
2020-01-26,19.99,75
2020-07-08,19.99,75
2020-08-06,19.99,75
2019-04-21,19.99,75
2019-05-21,19.99,75
2019-07-08,19.99,75
2019-08-22,19.99,75
2019-09-25,19.99,75
2019-11-10,19.99,75
2019-11-24,19.99,75
2019-12-02,19.99,75
2020-01-01,19.99,75
2020-01-26,19.99,75
2020-02-27,19.99,75
2020-04-19,19.99,75
2020-07-08,19.99,75
