Date,Initialprice,Discount
2019-05-12,29.99,50
2019-07-08,29.99,34
2019-10-05,29.99,34
2019-10-20,29.99,34
2019-10-31,29.99,50
2019-11-11,29.99,50
2019-12-02,29.99,50
2020-01-01,29.99,50
2020-01-26,29.99,30
2020-05-03,29.99,70
2020-07-08,29.99,84
2020-08-09,29.99,70
2019-05-12,9.99,50
2019-07-08,9.99,50
2019-10-31,9.99,60
2019-11-11,9.99,50
2019-12-02,9.99,50
2020-01-01,9.99,50
2020-01-26,9.99,50
2020-03-08,9.99,75
2020-05-03,9.99,75
2020-07-08,9.99,50
2020-08-09,9.99,75
2019-05-12,14.99,67
2019-07-08,14.99,34
2019-10-05,14.99,34
2019-10-31,14.99,34
2019-11-11,14.99,60
2019-12-02,14.99,60
2020-01-01,14.99,60
2020-01-26,14.99,34
2020-05-03,14.99,75
2020-07-08,14.99,67
2020-08-09,14.99,67
2019-05-12,9.99,50
2019-07-08,9.99,50
2019-10-31,9.99,50
2019-11-11,9.99,50
2019-12-02,9.99,50
2020-01-01,9.99,50
2020-01-26,9.99,50
2020-05-03,9.99,75
2020-07-08,9.99,70
2020-08-09,9.99,70
2019-05-12,14.99,67
2019-07-08,14.99,34
2019-10-31,14.99,34
2019-11-11,14.99,70
2019-12-02,14.99,70
2020-01-01,14.99,70
2020-01-26,14.99,50
2020-03-15,14.99,67
2020-05-03,14.99,85
2020-07-08,14.99,67
2020-08-09,14.99,67
2019-05-12,14.99,34
2019-07-08,14.99,34
2019-10-31,19.99,34
2019-11-11,19.99,30
2019-12-02,19.99,30
2020-01-01,19.99,30
2020-01-12,19.99,30
2020-01-26,19.99,30
2020-05-03,19.99,50
2020-07-08,19.99,51
2020-08-09,19.99,30
