Date,Initialprice,Discount
2019-06-08,9.99,75
2019-07-08,9.99,70
2019-10-31,9.99,70
2019-12-02,9.99,70
2020-01-01,9.99,75
2020-01-26,9.99,75
2020-03-30,9.99,75
2020-07-08,9.99,75
2019-06-08,14.99,67
2019-07-08,14.99,70
2019-10-31,14.99,70
2019-12-02,14.99,70
2020-01-01,14.99,75
2020-01-26,14.99,75
2020-03-30,14.99,75
2020-07-08,14.99,75
2019-05-31,19.99,50
2019-06-08,19.99,50
2019-07-08,19.99,50
2019-10-31,19.99,50
2019-12-02,19.99,50
2020-01-01,19.99,60
2020-01-26,19.99,60
2020-03-30,19.99,60
2020-07-08,19.99,60
