Date,Initialprice,Discount
2019-04-27,39.99,66
2019-06-19,39.99,66
2019-07-08,39.99,66
2019-09-01,39.99,66
2019-10-06,39.99,66
2019-11-03,39.99,66
2019-11-11,39.99,66
2019-11-26,39.99,66
2019-12-02,39.99,66
2019-12-15,39.99,66
2020-01-01,39.99,66
2020-01-26,39.99,66
2020-04-13,39.99,66
2020-06-07,39.99,66
2020-07-08,39.99,66
