Year,Month,mean,max
2017,12,2109.3286429429154,3660.153846153846
2018,1,2085.839237201229,3916.0
2018,2,2224.0102842097313,5463.7307692307695
2018,3,2396.4592202770946,5480.961538461538
2018,4,2277.2687763762897,9033.538461538461
2018,5,2237.150875235035,5063.692307692308
2018,6,2215.829103871443,4366.2692307692305
2018,7,2188.107649373647,3957.730769230769
2018,8,2008.152355557213,3544.0384615384614
2018,9,2232.781884764393,4602.7307692307695
2018,10,2044.398498130465,4280.2307692307695
2018,11,2235.293812123151,4518.038461538462
2018,12,2721.241006026102,5536.846153846154
2019,1,2437.6383961036704,4670.807692307692
2019,2,2299.5524820585238,4844.576923076923
2019,3,2359.7741239597326,4966.653846153846
2019,4,2229.322663068714,4249.2307692307695
2019,5,2332.6119053358784,5237.923076923077
2019,6,2511.509529532357,4754.0
2019,7,2421.0731810361003,4408.307692307692
2019,8,2202.2667752359825,3720.4615384615386
2019,9,2076.3595284512276,3795.5384615384614
2019,10,2267.048206385023,4876.961538461538
2019,11,2354.480237788714,4661.153846153846
2019,12,2397.0335325734964,4219.076923076923
2020,1,2512.006667513805,4534.0
2020,2,2645.014509331539,5068.192307692308
2020,3,3489.7185488461882,8459.384615384615
2020,4,3460.6197987401456,6146.846153846154
2020,5,3337.4041760853183,6149.538461538462
2020,6,3026.6962151836724,5655.538461538462
2020,7,3008.88377573108,4696.423076923077
2020,8,2918.1532699677623,4414.615384615385
