Year,Month,mean,max
2017,12,37.24816743827161,562.0
2018,1,12.962104848714137,309.0
2018,2,5.119585148109738,257.5
2018,3,0.151913284400366,2.5
2018,4,0.15391945627986311,2.5
2018,5,0.1139384976181471,5.0
2018,6,0.05934121342715445,1.5
2018,7,0.07160943238070891,2.0
2018,8,0.0865319865319865,17.5
2018,9,0.08093717069829065,3.0
2018,10,0.055998337961966155,2.5
2018,11,14.487415519745875,903.5
2018,12,0.6541998429965235,121.5
2019,1,0.038226990400903396,1.5
2019,2,0.0204916030848479,1.5
2019,3,0.02171719367754895,1.0
2019,4,0.04886509681030225,1.5
2019,5,0.0383420116769157,1.0
2019,6,0.0657124647154629,6.0
2019,7,0.09099487806047869,6.0
2019,8,0.03592004583096725,1.5
2019,9,0.027099560122446402,2.0
2019,10,0.034892231023363696,1.5
2019,11,0.02012916910827805,1.0
2019,12,0.03866876192614205,1.5
2020,1,0.03048103178457715,2.0
2020,2,0.0415790725676276,2.0
2020,3,0.0215206805580703,1.5
2020,4,0.11052509562999879,4.0
2020,5,0.04029931051675555,2.0
2020,6,0.0243941395864987,2.0
2020,7,0.23889964375452105,10.0
2020,8,0.37965116279069766,7.5
