Year,Month,mean,max
2017,12,38682.64176477107,64759.96153846154
2018,1,38269.778038760094,66343.26923076923
2018,2,35209.84759550242,64559.153846153844
2018,3,34165.10382185078,62717.653846153844
2018,4,31274.518644538024,54621.61538461538
2018,5,31910.568719680745,56393.07692307692
2018,6,32705.701192606084,54025.846153846156
2018,7,32120.845249674225,50801.153846153844
2018,8,33299.01323206241,55525.307692307695
2018,9,34205.98658939509,60355.57692307692
2018,10,32986.211301804615,58339.307692307695
2018,11,33917.91770496523,61128.53846153846
2018,12,36363.78411097898,67658.46153846153
2019,1,38203.96906843501,67636.46153846153
2019,2,40065.522593190704,70025.69230769231
2019,3,41300.60569713214,72878.53846153847
2019,4,37739.35600811608,67591.42307692308
2019,5,38701.084654746955,67467.57692307692
2019,6,38613.587171271865,64214.153846153844
2019,7,37481.63917556864,60628.5
2019,8,37696.83437449378,63253.846153846156
2019,9,35587.31289712679,62841.88461538462
2019,10,34476.90585494608,64362.307692307695
2019,11,35694.74045498676,63602.07692307692
2019,12,37026.04192117117,64588.846153846156
2020,1,38601.785447269365,63620.846153846156
2020,2,41180.72382825632,69025.07692307692
2020,3,48134.723295510215,82335.11538461539
2020,4,58132.33462032777,91128.34615384616
2020,5,53650.461436632584,85139.57692307692
2020,6,48510.80979746395,74675.5
2020,7,46885.98352161072,68452.19230769231
2020,8,45992.68788475476,68154.65384615384
