Year,Month,mean,max
2017,12,109.57175925925927,181.5
2018,1,101.2194293478261,178.5
2018,2,68.50082712344559,125.5
2018,3,83.72117722398298,185.0
2018,4,99.59958217270196,259.0
2018,5,79.62104371988016,132.0
2018,6,68.14632518820693,134.5
2018,7,88.55657633109949,158.0
2018,8,96.36520168364538,246.5
2018,9,92.37682314853072,257.0
2018,10,59.21422062494636,110.0
2018,11,85.4108383831097,213.0
2018,12,67.00042502179599,129.5
2019,1,58.21145896881298,105.0
2019,2,53.95312977384093,94.5
2019,3,55.41933898955038,109.0
2019,4,39.5835170904765,76.5
2019,5,66.27823599559804,135.5
2019,6,44.114890667503666,88.5
2019,7,57.51469117706116,153.0
2019,8,60.79854007601304,117.0
2019,9,37.5062582926051,67.5
2019,10,33.853868112111826,63.5
2019,11,36.70442423996428,87.5
2019,12,63.07809224318659,108.0
2020,1,74.92901674680816,146.5
2020,2,52.340605489120335,103.0
2020,3,44.08571340542872,76.5
2020,4,49.157421033268506,85.5
2020,5,76.49955582551917,130.0
2020,6,47.616258750078195,94.5
2020,7,65.73680184752071,104.5
2020,8,54.44017120798135,86.5
