publisher_id,Date,PGDR
-2080260409,2019-04-07,-31.458577649821432
-2080260409,2019-06-09,61.50210187068319
-2080260409,2019-07-08,-7.372793214056713
-2080260409,2019-09-03,-18.19271737827132
-2080260409,2019-11-04,31.75774233091487
-2080260409,2019-11-11,31.75774233091487
-2080260409,2019-12-02,69.22192031900728
-2080260409,2020-01-01,41.13658424676003
-2080260409,2020-01-26,41.13658424676003
-2080260409,2020-03-25,18.921838445086728
-2080260409,2020-07-08,-0.4945385614115696
976899290,2019-05-14,31.863708642381773
976899290,2019-07-08,150.25503408357812
976899290,2019-08-05,-59.96689617212668
976899290,2019-08-28,-59.96689617212668
976899290,2019-10-31,11.531884068587466
976899290,2019-11-14,133.52388438408852
976899290,2019-12-02,123.24833350227252
976899290,2019-12-13,123.24833350227252
976899290,2020-01-01,91.33452778089934
976899290,2020-02-05,9.244070873874154
976899290,2020-03-30,-22.861408670687783
976899290,2020-07-08,-34.426535481172834
976899290,2020-08-12,-2.9698899499526057
-1951535175,2019-04-29,29.234335122504657
-1951535175,2019-07-14,-25.193128320958557
-1951535175,2019-10-13,8.093389487231573
-1951535175,2019-12-02,58.0723639989143
-1951535175,2020-01-01,3.1704523711172854
-1951535175,2020-01-26,3.1704523711172854
-1951535175,2020-03-15,66.95002816453889
-1951535175,2020-04-19,-11.067565617196315
-1229421312,2019-07-08,44.94304797181257
-1229421312,2019-10-31,-39.51895263520713
-1229421312,2019-11-11,14.976697094655435
-1229421312,2019-12-02,57.089008613836384
-1229421312,2020-01-01,6.028756923204867
-1229421312,2020-01-26,6.028756923204867
-1229421312,2020-03-29,69.93494921524358
-1229421312,2020-07-08,17.01361618966568
1767915848,2019-04-30,-0.208030452051978
1767915848,2019-07-08,0.2243660609852654
1767915848,2019-08-14,-44.21921520712036
1767915848,2019-10-31,10.33172550224889
1767915848,2019-11-11,45.165156618890165
1767915848,2019-12-02,40.360886335486605
1767915848,2020-01-01,45.55535139614371
1767915848,2020-01-26,45.55535139614371
1767915848,2020-03-09,67.35758370061579
1767915848,2020-04-23,-38.102962662734
1767915848,2020-07-08,-21.54953833941664
-2110134855,2019-07-08,-6.997483732046529
-2110134855,2019-10-31,7.889087019205901
-2110134855,2019-11-11,59.2373771515535
-2110134855,2019-12-02,71.19754267947022
-2110134855,2020-01-01,4.340244048390847
-2110134855,2020-01-26,6.5761273460467375
-2110134855,2020-03-29,113.1886713912182
-2110134855,2020-07-08,-6.458666597518864
1858027147,2019-05-12,41.73057269290484
1858027147,2019-07-08,18.84895287868336
1858027147,2019-10-27,400.33823533718345
1858027147,2019-11-10,227.1196867289703
1858027147,2019-12-02,-57.255363512945614
1858027147,2020-01-01,-26.334736615377285
1858027147,2020-01-26,-47.40252590767911
1858027147,2020-03-02,73.10191762019296
1858027147,2020-05-03,33.175972438629834
1858027147,2020-07-08,0.5369707600974664
1574209807,2019-05-26,11.780351635635975
1574209807,2019-06-13,22.75052083246891
1574209807,2019-07-08,-6.391537901559439
1574209807,2019-07-21,-6.391537901559439
1574209807,2019-08-01,-22.32142431243157
1574209807,2019-09-15,2.289569091166269
1574209807,2019-10-31,18.496917164239026
1574209807,2019-11-11,51.540032695009785
1574209807,2019-12-02,16.734998581225884
1574209807,2019-12-10,16.734998581225884
1574209807,2020-01-01,-18.58242048346576
1574209807,2020-01-26,-18.58242048346576
1574209807,2020-02-16,12.220783591797051
1574209807,2020-04-05,2.912638916126449
1574209807,2020-05-31,-41.24767604051925
1574209807,2020-07-08,-23.58726411539212
1574209807,2020-07-17,-23.58726411539212
1574209807,2020-07-26,-23.58726411539212
1799739398,2019-05-19,5.118211782380223
1799739398,2019-07-08,-8.949662582304258
1799739398,2019-09-15,-23.716206621504185
1799739398,2019-10-19,-17.83953060014629
1799739398,2019-10-31,-17.83953060014629
1799739398,2019-11-11,3.4576368364066883
1799739398,2019-12-02,59.35079643664987
1799739398,2020-01-01,22.388151958965874
1799739398,2020-01-19,21.108828989882117
1799739398,2020-01-26,21.108828989882117
1799739398,2020-04-01,7.408473262097357
1799739398,2020-04-20,7.408473262097357
1799739398,2020-05-31,-50.36112261792043
1799739398,2020-07-08,1.0715478503537228
-2080260409,2019-07-08,-17.61182683116888
-2080260409,2020-03-01,64.62574478983208
-2080260409,2020-03-25,64.62574478983208
-2080260409,2020-07-08,10.967546929516857
-950390578,2019-05-19,49.226670017031694
-950390578,2019-06-16,49.5030872774646
-950390578,2019-07-08,30.160985053530737
-950390578,2019-07-29,20.10732336902049
-950390578,2019-10-28,16.145917690950995
-950390578,2019-12-02,15.00051210780626
-950390578,2020-01-01,-1.9752432537273656
-950390578,2020-01-26,-1.9752432537273656
-950390578,2020-07-08,29.40990873948262
-950390578,2020-08-10,3.877992524182381
-12454423,2019-05-19,-15.582471260095716
-12454423,2019-07-08,3.1393886801253186
-12454423,2019-07-28,3.363630728705699
-12454423,2019-10-20,11.402968706498028
-12454423,2019-11-11,26.80877137963765
-12454423,2019-12-02,51.38970985930373
-12454423,2019-12-13,51.38970985930373
-12454423,2020-01-01,1.6917616582722188
-12454423,2020-01-21,1.8126017767202347
-12454423,2020-01-26,1.6917616582722188
-12454423,2020-03-15,60.08851020738007
-12454423,2020-04-19,23.893973848232
-12454423,2020-06-21,-12.766300056065106
-12454423,2020-07-08,-14.28535108014852
-12454423,2020-07-26,-14.28535108014852
802383246,2019-05-19,-15.582471260095716
802383246,2019-07-08,3.1393886801253186
802383246,2019-07-28,3.363630728705699
802383246,2019-10-20,11.402968706498028
802383246,2019-11-11,26.80877137963765
