appid,Date,PGDR
359550,2019-04-07,-31.458577649821432
359550,2019-06-09,61.50210187068319
359550,2019-07-08,-7.372793214056713
359550,2019-09-03,-18.19271737827132
359550,2019-11-04,31.75774233091487
359550,2019-11-11,31.75774233091487
359550,2019-12-02,69.22192031900728
359550,2020-01-01,41.13658424676003
359550,2020-01-26,41.13658424676003
359550,2020-03-25,18.921838445086728
359550,2020-07-08,-0.4945385614115696
271590,2019-05-14,31.863708642381773
271590,2019-07-08,150.25503408357812
271590,2019-08-05,-59.96689617212668
271590,2019-08-28,-59.96689617212668
271590,2019-10-31,11.531884068587466
271590,2019-11-14,133.52388438408852
271590,2019-12-02,123.24833350227253
271590,2019-12-13,123.24833350227253
271590,2020-01-01,91.33452778089934
271590,2020-02-05,9.244070873874154
271590,2020-03-30,-22.861408670687783
271590,2020-07-08,-34.426535481172834
271590,2020-08-12,-2.9698899499526057
252950,2019-04-29,29.234335122504657
252950,2019-07-14,-25.193128320958554
252950,2019-10-13,8.093389487231573
252950,2019-12-02,58.0723639989143
252950,2020-01-01,3.1704523711172854
252950,2020-01-26,3.1704523711172854
252950,2020-03-15,66.95002816453889
252950,2020-04-19,-11.067565617196315
252490,2019-07-08,44.94304797181257
252490,2019-10-31,-39.51895263520713
252490,2019-11-11,14.976697094655437
252490,2019-12-02,57.089008613836384
252490,2020-01-01,6.028756923204867
252490,2020-01-26,6.028756923204867
252490,2020-03-29,69.93494921524358
252490,2020-07-08,17.01361618966568
346110,2019-04-30,-0.208030452051978
346110,2019-07-08,0.2243660609852654
346110,2019-08-14,-44.21921520712036
346110,2019-10-31,10.33172550224889
346110,2019-11-11,45.165156618890165
346110,2019-12-02,40.360886335486605
346110,2020-01-01,45.55535139614371
346110,2020-01-26,45.55535139614371
346110,2020-03-09,67.35758370061579
346110,2020-04-23,-38.102962662733994
346110,2020-07-08,-21.549538339416642
4000,2019-07-08,-6.997483732046529
4000,2019-10-31,7.889087019205901
4000,2019-11-11,59.2373771515535
4000,2019-12-02,71.19754267947022
4000,2020-01-01,4.340244048390847
4000,2020-01-26,6.5761273460467375
4000,2020-03-29,113.1886713912182
4000,2020-07-08,-6.458666597518864
218620,2019-05-12,41.730572692904836
218620,2019-07-08,18.84895287868336
218620,2019-10-27,400.33823533718345
218620,2019-11-10,227.1196867289703
218620,2019-12-02,-57.255363512945614
218620,2020-01-01,-26.334736615377285
218620,2020-01-26,-47.40252590767911
218620,2020-03-02,73.10191762019296
218620,2020-05-03,33.175972438629834
218620,2020-07-08,0.5369707600974664
227300,2019-05-26,11.780351635635975
227300,2019-06-13,22.75052083246891
227300,2019-07-08,-6.391537901559439
227300,2019-07-21,-6.391537901559439
227300,2019-08-01,-22.321424312431574
227300,2019-09-15,2.289569091166269
227300,2019-10-31,18.496917164239026
227300,2019-11-11,51.540032695009785
227300,2019-12-02,16.734998581225884
227300,2019-12-10,16.734998581225884
227300,2020-01-01,-18.582420483465757
227300,2020-01-26,-18.582420483465757
227300,2020-02-16,12.220783591797053
227300,2020-04-05,2.912638916126449
227300,2020-05-31,-41.24767604051925
227300,2020-07-08,-23.58726411539212
227300,2020-07-17,-23.58726411539212
227300,2020-07-26,-23.58726411539212
107410,2019-05-19,5.1182117823802225
107410,2019-07-08,-8.949662582304258
107410,2019-09-15,-23.716206621504185
107410,2019-10-19,-17.83953060014629
107410,2019-10-31,-17.83953060014629
107410,2019-11-11,3.4576368364066883
107410,2019-12-02,59.35079643664987
107410,2020-01-01,22.388151958965874
107410,2020-01-19,21.108828989882113
107410,2020-01-26,21.108828989882113
107410,2020-04-01,7.408473262097357
107410,2020-04-20,7.408473262097357
107410,2020-05-31,-50.36112261792043
107410,2020-07-08,1.0715478503537228
365590,2019-07-08,-17.61182683116888
365590,2020-03-01,64.62574478983208
365590,2020-03-25,64.62574478983208
365590,2020-07-08,10.967546929516857
377160,2019-05-19,49.226670017031694
377160,2019-06-16,49.5030872774646
377160,2019-07-08,30.160985053530737
377160,2019-07-29,20.10732336902049
377160,2019-10-28,16.145917690950995
377160,2019-12-02,15.00051210780626
377160,2020-01-01,-1.9752432537273659
377160,2020-01-26,-1.9752432537273659
377160,2020-07-08,29.40990873948262
377160,2020-08-10,3.8779925241823814
289070,2019-05-19,-15.582471260095717
289070,2019-07-08,3.1393886801253186
289070,2019-07-28,3.363630728705699
289070,2019-10-20,11.402968706498028
289070,2019-11-11,26.80877137963765
289070,2019-12-02,51.38970985930373
289070,2019-12-13,51.38970985930373
289070,2020-01-01,1.6917616582722188
289070,2020-01-21,1.8126017767202347
289070,2020-01-26,1.6917616582722188
289070,2020-03-15,60.08851020738007
289070,2020-04-19,23.893973848232
289070,2020-06-21,-12.766300056065106
289070,2020-07-08,-14.285351080148521
289070,2020-07-26,-14.285351080148521
105600,2019-04-11,53.75772442185866
105600,2019-07-08,-27.73298351807732
105600,2019-10-31,64.17215942248532
105600,2019-11-11,268.88576854256365
105600,2019-12-02,80.6853026584315
105600,2020-01-01,-43.83219211848756
105600,2020-01-26,-43.83219211848756
105600,2020-04-02,638.4127089380374
105600,2020-07-08,-120.0125881138307
476620,2019-04-07,-19.952612569168615
476620,2019-07-08,11.76663259301212
476620,2019-11-10,-68.73061727323302
476620,2019-12-02,-42.767550147528866
476620,2020-01-01,-31.118246123136753
476620,2020-01-26,-31.118246123136753
476620,2020-05-18,-24.70027540103963
476620,2020-07-08,-26.01090170053797
10,2019-07-08,0.13604238810186925
10,2019-12-02,17.791807487486434
10,2020-01-01,1.0078566106007287
10,2020-07-08,-12.795326196414193
