id,name,num_languages,%_positive_reviews,RPR
359550,Tom Clancy's Rainbow Six Siege,15,90.03603867360951,4.504053960660806
271590,Grand Theft Auto V,12,73.79840491976555,2.460767086354303
252950,Rocket League,12,89.58641443067032,4.481561502284658
252490,Rust,13,85.85556730469608,2.4537172707829686
624090,Football Manager 2018,17,64.3529411764706,1.2873162867867691
346110,ARK: Survival Evolved,21,74.76159182183278,1.4955309426251806
4000,Garry's Mod,25,96.64087258274556,9.673761019293849
8930,Sid Meier's Civilization V,10,95.99429587732932,3.2008768215181505
218620,PAYDAY 2,7,82.63432392413539,8.27170409651005
227300,Euro Truck Simulator 2,24,97.31227071947292,4.868047559753523
107410,Arma 3,14,90.96279786893004,2.2746386063748445
365590,Tom Clancy's The Division,15,69.2812893008524,1.38590296661037
377160,Fallout 4,10,76.03854621575775,2.535463361645807
289070,Sid Meier's Civilization VI,12,79.60950844562535,1.3270463151462801
105600,Terraria,9,98.04875893705224,9.814690584289513
72850,The Elder Scrolls V: Skyrim,9,92.22830973839945,4.6137223480940195
476620,Call of Duty: WWII - Multiplayer,12,74.54831107619796,1.2426789644307044
10,Counter-Strike,8,96.3554523014375,9.645190420564314
292030,The Witcher 3: Wild Hunt,16,97.66049802273852,2.4421229813137915
381210,Dead by Daylight,13,82.32258347882421,4.118188268075249
236850,Europa Universalis IV,4,86.70390344119157,2.168139620935023
489830,The Elder Scrolls V: Skyrim Special Edition,9,93.87144511645864,2.3473729711542544
306130,The Elder Scrolls Online: Tamriel Unlimited,3,81.14899384839954,4.059479432136046
435150,Divinity: Original Sin 2,10,95.77138730779032,2.1287261015290135
394360,Hearts of Iron IV,7,91.22836377546142,2.281279414240095
251570,7 Days to Die,4,84.79618420044442,3.393204649877728
281990,Stellaris,8,87.0666485679381,2.1772105168276594
550,Left 4 Dead 2,19,96.94085887343752,9.703789677020772
594570,Total War: WARHAMMER II,13,93.5457988317607,1.5593565399526705
221380,Age of Empires II: HD Edition,11,94.65045389073124,4.734890139606366
582660,Black Desert Online,4,71.94240724762726,7.201442166929655
255710,Cities: Skylines,9,92.13368416918668,3.0721468545910864
214950,Total War: ROME II - Emperor Edition,9,79.6666142475232,1.3288843077151493
294100,RimWorld,23,98.28122184177327,2.8088374347463065
413150,Stardew Valley,12,98.79579241301624,6.590780014210557
582160,Assassin's Creed Origins,14,82.85014817678135,1.3810659806097907
322330,Don't Starve Together,2,96.4639663901756,6.435221240171821
577800,NBA 2K18,9,33.60027855153203,0.560097992190899
447020,Farming Simulator 17,18,92.17252396166134,4.610931663915025
427520,Factorio,21,98.89460482122358,3.2964868273741192
49520,Borderlands 2,8,96.0298115683885,4.803892524681766
48700,Mount & Blade: Warband,10,97.7456544081505,4.889727584199625
374320,DARK SOULSâ„¢ III,12,92.24540344860436,1.5376796707551985
431960,Wallpaper Engine,19,98.4213515048268,24.667005389680902
268500,XCOM 2,11,85.86733626281648,1.4313608311854722
311290,SpellForce 3,8,71.94805194805195,1.4392488887387869
240,Counter-Strike: Source,12,95.36781564528036,9.546327892420456
39210,FINAL FANTASY XIV Online,4,88.06701438280385,4.405553495888137
203770,Crusader Kings II,4,92.8860259544856,2.3227313316950635
356190,Middle-earthâ„¢: Shadow of Warâ„¢,13,84.24546289103877,1.6852463070821917
253920,Gorky 17,6,75.63025210084034,15.156363146460988
242760,The Forest,16,94.13797074743752,4.7092531639538535
250900,The Binding of Isaac: Rebirth,1,98.01581444385872,6.538746794119994
485510,Nioh: Complete Edition,13,80.48830953858887,1.61008820841346
219990,Grim Dawn,11,94.87862784049614,3.796663779131498
259340,Chicken Shoot Gold,6,60.60606060606061,8.670394936489357
231430,Company of Heroes 2,8,82.2684144134262,4.115478459901261
359320,Elite Dangerous,6,75.15675073150342,2.5060603778427284
364360,Total War: WARHAMMER,13,81.74470814624759,1.3626389089222801
22380,Fallout: New Vegas,5,96.36215801123276,9.645861662786062
