id,publisher,publisher_id
418460,Tripwire Interactive,-644447441
367520,Team Cherry,-447485479
244450,1C Entertainment,-205584709
312660,Rebellion,1866442855
363150,"KOEI TECMO GAMES CO., LTD.",-482308940
282070,11 bit studios,-1581693992
380600,Fishing Planet LLC,-70393715
200510,2K,-12454423
200510,Feral Interactive,-1186516368
233450,Paradox Interactive,-1113012495
280790,Playful Corp.,280062930
242050,Ubisoft,-2080260409
9900,Perfect World Entertainment,-1665017516
316010,Wizards of the Coast LLC,932002048
389430,NTTGame,-839370411
403640,Bethesda Softworks,-950390578
524220,Square Enix,-1704654576
469600,AutoAttack Games,1208424265
506540,Free Reign Entertainment,494103186
4760,SEGA,1417143641
216150,Nexon America Inc.,1723677131
387990,Axolot Games,-170128326
480490,Bethesda Softworks,-950390578
447040,Ubisoft,-2080260409
688470,"Chongqing Shangshixuan Technology Co., Ltd.,",222399988
506140,"Cloudcade, Inc.",-541016779
402840,Codename Entertainment Inc.,1908251391
261640,2K,-12454423
261640,Aspyr,802383246
663090,"IMCGAMES Co.,Ltd.",-1891935593
266840,Xbox Game Studios,-1251139035
203160,Square Enix,-1704654576
203160,Feral Interactive,-1186516368
291650,Paradox Interactive,-1113012495
372000,"IMCGAMES Co.,Ltd.",-1891935593
212680,Subset Games,-1219849664
337000,Square Enix,-1704654576
337000,Feral Interactive,-1186516368
415200,SEGA,1417143641
32470,LucasArts,512719419
32470,Lucasfilm,1203862585
32470,Disney Interactive,-483919086
397900,8Floor,-1076726378
569480,"Lion Shield, LLC",-1279197742
444640,Ninja Kiwi,1215120613
473690,Devolver Digital,-1539353560
433340,Monomi Park,-1594781384
234140,Warner Bros. Interactive Entertainment,-750143379
234140,Feral Interactive,-1186516368
298110,Ubisoft,-2080260409
201810,Bethesda-Soft,-972859873
290080,Bitbox Ltd.,-2063578894
445220,Boxelware,-1851465177
335240,Atelier 801,203410574
8800,2K,-12454423
208650,Warner Bros. Interactive Entertainment,-750143379
329110,505 Games,-1958266213
326460,kChamp Games,1098098503
529180,Snail Games USA,-1728777074
438740,Gun Media,-1271581155
8980,2K,-12454423
521630,Giant Fox Studios,2088467359
220,Valve,-2110134855
393420,Bankroll Studios,-1294185094
22330,Bethesda Softworks,-950390578
20920,CD PROJEKT RED,-2087993330
20920,1C-SoftClub,-766361598
253710,Expansive Worlds,1611585659
253710,Avalanche Studios,1730712100
3910,2K,-12454423
516750,Amistech Games,576259595
252530,Aerosoft GmbH,1342106944
360430,2K,-12454423
360430,Aspyr,802383246
391540,tobyfox,-1567628160
12120,Rockstar Games,976899290
20900,CD PROJEKT RED,-2087993330
20900,1C-SoftClub,-766361598
342200,Piranha Games Inc.,-798778594
431240,Team17 Digital Ltd,1604141760
466560,Shiro Games,128663918
6060,Lucasfilm,1203862585
6060,LucasArts,512719419
6060,Disney Interactive,-483919086
10090,Activision,-1606173463
