pid,Year,Month,mean,max
-100134745,2017,12,22.996582277154545,271.0
-100134745,2018,1,8.577847504092283,185.0
-100134745,2018,2,9.267323286091576,399.0
-100134745,2018,3,7.253630608993974,253.5
-100134745,2018,4,18.161712053971836,976.0
-100134745,2018,5,7.285217586361597,268.5
-100134745,2018,6,5.449913342172707,212.0
-100134745,2018,7,3.687985967613825,108.0
-100134745,2018,8,7.960846099902535,355.5
-100134745,2018,9,0.7942100355338682,14.5
-100134745,2018,10,0.3376814622388907,5.0
-100134745,2018,11,0.9251854776565028,20.5
-100134745,2018,12,1.2554803615102967,117.0
-100134745,2019,1,0.7632187103612448,36.0
-100134745,2019,2,1.8763837031584427,129.0
-100134745,2019,3,0.5850689473964705,46.5
-100134745,2019,4,0.4348258866150001,27.0
-100134745,2019,5,4.607740792312037,451.5
-100134745,2019,6,1.5478849177999645,67.0
-100134745,2019,7,1.1869328621800812,22.5
-100134745,2019,8,4.318857512067542,310.5
-100134745,2019,9,0.2447123369154684,26.0
-100134745,2019,10,4.79396423351205,295.5
-100134745,2019,11,0.221513325845327,7.0
-100134745,2019,12,0.3395636310155524,15.5
-100134745,2020,1,0.2243909552514308,5.0
-100134745,2020,2,3.3622245170738108,111.5
-100134745,2020,3,12.569731185809006,620.0
-100134745,2020,4,3.934651271456468,316.0
-100134745,2020,5,0.3634326640173663,8.0
-100134745,2020,6,0.4779909632850809,12.0
-100134745,2020,7,0.2638042388895932,4.5
-100134745,2020,8,0.7725282752765217,23.0
-100316603,2017,12,18.64583333333333,185.0
-100316603,2018,1,11.182312925170068,285.0
-100316603,2018,2,22.104333868378813,518.0
-100316603,2018,3,1.9341397849462365,68.0
-100316603,2018,4,7.853760445682451,221.0
-100316603,2018,5,0.7671601615074024,37.0
-100316603,2018,6,0.5563282336578581,14.0
-100316603,2018,7,2.185385656292287,102.0
-100316603,2018,8,13.498648648648649,270.0
-100316603,2018,9,5.581589958158996,200.0
-100316603,2018,10,4.294993234100136,289.0
-100316603,2018,11,6.341292134831461,198.0
-100316603,2018,12,4.754716981132075,132.0
-100316603,2019,1,0.5421195652173914,36.0
-100316603,2019,2,0.5104477611940299,31.0
-100316603,2019,3,0.3525377229080932,3.0
-100316603,2019,4,0.1798866855524079,3.0
-100316603,2019,5,1.826685006877579,63.0
-100316603,2019,6,0.3170028818443804,11.0
-100316603,2019,7,0.3840877914951989,12.0
-100316603,2019,8,0.1044776119402985,2.0
-100316603,2019,9,0.0886075949367088,2.0
-100316603,2019,10,0.1170068027210884,2.0
-100316603,2019,11,0.1,2.0
-100316603,2019,12,0.3568521031207598,3.0
-100316603,2020,1,0.2841530054644808,3.0
-100316603,2020,2,0.2364170337738619,2.0
-100316603,2020,3,0.2745901639344262,4.0
-100316603,2020,4,0.243822075782537,3.0
-100316603,2020,5,0.1904761904761904,9.0
-100316603,2020,6,0.1839887640449438,3.0
-100316603,2020,7,0.2479784366576819,3.0
-100316603,2020,8,0.2256944444444444,3.0
-1006202660,2017,12,0.4421296296296296,4.0
-1006202660,2018,1,0.3006896551724138,4.0
-1006202660,2018,2,0.2569558101472995,3.0
-1006202660,2018,3,0.1467025572005383,2.0
-1006202660,2018,4,0.1852367688022284,3.0
-1006202660,2018,5,0.1330645161290322,2.0
-1006202660,2018,6,0.3101529902642559,4.0
-1006202660,2018,7,0.2918918918918919,3.0
-1006202660,2018,8,0.161507402422611,2.0
-1006202660,2018,9,0.1185495118549511,2.0
-1006202660,2018,10,0.1740890688259109,2.0
-1006202660,2018,11,0.1534170153417015,2.0
-1006202660,2018,12,0.2862903225806452,5.0
-1006202660,2019,1,0.2513513513513513,3.0
-1006202660,2019,2,0.2712369597615499,4.0
-1006202660,2019,3,0.1475409836065573,2.0
-1006202660,2019,4,0.1380281690140845,2.0
-1006202660,2019,5,0.0889487870619946,2.0
-1006202660,2019,6,0.1198871650211565,3.0
-1006202660,2019,7,0.2909336941813261,2.0
-1006202660,2019,8,0.0917678812415654,3.0
-1006202660,2019,9,0.0674157303370786,2.0
-1006202660,2019,10,0.1583220568335588,2.0
-1006202660,2019,11,0.140646976090014,3.0
-1006202660,2019,12,0.1630727762803234,2.0
-1006202660,2020,1,0.2297297297297297,4.0
-1006202660,2020,2,0.1066282420749279,2.0
-1006202660,2020,3,0.0967741935483871,1.0
-1006202660,2020,4,0.1364902506963788,2.0
-1006202660,2020,5,0.1994609164420485,3.0
-1006202660,2020,6,0.4446002805049088,6.0
-1006202660,2020,7,0.4206989247311828,4.0
-1006202660,2020,8,0.2604166666666667,2.0
-1007691307,2017,12,78.09135080219879,187.5
-1007691307,2018,1,57.02440814867819,194.5
-1007691307,2018,2,33.21116157496932,81.5
