Year,Month,mean,max
2018,1,2284.4894182953626,3598.0
2019,1,1941.7700056593096,3192.0
2020,1,1570.2740732368898,2631.0
2018,2,2091.4773397693752,3722.0
2019,2,1636.0902881271734,2623.0
2020,2,1310.8181268882174,2106.0
2018,3,1971.196076233184,3711.0
2019,3,1459.4812115691186,2497.0
2020,3,1300.1412823397075,2058.0
2018,4,1649.4912199092919,2943.0
2019,4,1195.3662517613902,2028.0
2020,4,1492.5291896993394,2171.0
2018,5,1594.5203589455973,2530.0
2019,5,1265.9369225504734,2259.0
2020,5,3465.0269299820466,6515.0
2018,6,1819.0613974001858,3819.0
2019,6,1517.3735010580767,3381.0
2020,6,2186.44774027794,4834.0
2018,7,2531.664524856273,4007.0
2019,7,2312.9130237825593,4091.0
2020,7,3402.3942458979545,5460.0
2018,8,1988.5419101123596,3361.0
2019,8,1749.3821613120647,2808.0
2020,8,2402.670163170163,3563.0
2018,9,1897.4505226480837,3375.0
2019,9,1462.214210464708,2493.0
2018,10,1650.552978268213,2908.0
2019,10,1294.3104032531346,2270.0
2018,11,1740.5022619185709,3022.0
2019,11,1472.823294587296,2997.0
2017,12,2172.880787037037,3459.0
2018,12,2034.001683123878,3219.0
2019,12,1782.62631163263,3216.0
