Year,Month,mean,max
2018,1,2125.4553366926248,4816.0
2019,1,2138.1425988700566,4982.0
2020,1,2222.201690140845,4561.0
2018,2,1920.06499597963,4499.0
2019,2,1930.285696548299,4222.0
2020,2,1973.49585784608,3705.0
2018,3,1659.1853139013454,3174.0
2019,3,1679.7264375637972,3170.0
2020,3,2510.8604260089687,5955.0
2018,4,1444.4262466581424,2670.0
2019,4,1555.3360262264373,2779.0
2020,4,4073.0811312007418,9490.0
2018,5,1354.7671601615075,2329.0
2019,5,1564.1135189759711,2825.0
2020,5,2725.249915909855,5354.0
2018,6,1579.38515942029,3563.0
2019,6,1999.401754385965,4029.0
2020,6,2099.4341890315054,4062.0
2018,7,1891.1971624817024,3633.0
2019,7,2122.767604049494,4050.0
2020,7,2387.60534591195,4195.0
2018,8,1502.3789426422718,2517.0
2019,8,1727.483668200696,2914.0
2020,8,2063.6864456079115,3374.0
2018,9,1411.7145509398933,2439.0
2019,9,1548.8317538317538,2763.0
2018,10,1350.2482014388488,2380.0
2019,10,1490.656391147245,2636.0
2018,11,1649.3029214004173,4527.0
2019,11,1716.8824148824149,4083.0
2017,12,2246.5510322207215,4757.0
2018,12,2137.1453566621803,4993.0
2019,12,2331.2800673778775,4644.0
