Year,Month,mean,max
2018,1,14784.29934775146,25507.0
2019,1,10975.086627512988,19377.0
2020,1,8197.995492449854,14332.0
2018,2,12978.088850174216,24482.0
2019,2,9778.701403552353,18384.0
2020,2,7702.147743638982,13721.0
2018,3,12580.01614530777,22427.0
2019,3,9231.599569063279,16308.0
2020,3,8548.474946754848,16788.0
2018,4,12133.398303114831,21682.0
2019,4,9067.296127296127,16525.0
2020,4,10047.070037105752,16088.0
2018,5,11741.831426648721,20077.0
2019,5,9019.966202560072,15841.0
2020,5,8674.113004484305,14774.0
2018,6,12405.410045238372,20821.0
2019,6,9087.184305929131,15119.0
2020,6,7538.331777336912,12658.0
2018,7,11866.768208938422,19014.0
2019,7,8039.592850719425,13126.0
2020,7,6959.361217156973,10930.0
2018,8,10666.751206374145,17175.0
2019,8,8021.498541292639,13433.0
2020,8,6931.2899941826645,10930.0
2018,9,9780.027732652588,17651.0
2019,9,7140.109731818714,12781.0
2018,10,10310.663595505617,18810.0
2019,10,6982.653720221294,12410.0
2018,11,9887.476118710874,17611.0
2019,11,7148.503980332474,12678.0
2017,12,14715.515046296296,23422.0
2018,12,10326.03409218347,17713.0
2019,12,7497.592388863943,12960.0
