Year,Month,mean,max
2018,1,1016.4088612057822,2260.0
2019,1,1063.0402220711535,2171.0
2020,1,969.2977324263038,1998.0
2018,2,948.0625,2207.0
2019,2,982.0700074608307,2162.0
2020,2,881.5951569724994,1861.0
2018,3,1038.524498262137,2637.0
2019,3,901.3445953658259,1873.0
2020,3,1051.3266514806378,2617.0
2018,4,908.7585524784733,1903.0
2019,4,974.1243071116877,2191.0
2020,4,1239.3629873695772,2407.0
2018,5,916.6540231174953,2085.0
2019,5,944.2550051481523,1997.0
2020,5,1295.0787906035741,3032.0
2018,6,1179.6030658460108,2708.0
2019,6,967.5147478591817,2164.0
2020,6,1525.613001642807,3697.0
2018,7,968.8409654861267,2061.0
2019,7,1130.394501718213,4561.0
2020,7,1327.1560355495556,2912.0
2018,8,852.7455834364803,1679.0
2019,8,898.0638129658911,1696.0
2020,8,1020.3234092235843,1915.0
2018,9,929.8766995932598,2098.0
2019,9,937.5154143711171,2265.0
2018,10,805.4606197183099,1673.0
2019,10,843.0286718041705,1806.0
2018,11,874.2754734518415,1929.0
2019,11,839.9465442128812,1967.0
2017,12,1199.287037037037,2495.0
2018,12,1062.980017961383,2264.0
2019,12,1033.0494343891403,2109.0
