Year,Month,mean,max
2018,1,73.93469387755103,122.0
2019,1,71.61569688768606,115.0
2020,1,42.11684782608695,65.0
2018,2,81.37942122186494,132.0
2019,2,61.825633383010434,93.0
2020,2,46.35072463768116,68.0
2018,3,79.26917900403768,168.0
2019,3,57.277701778385776,91.0
2020,3,50.760487144790254,73.0
2018,4,74.73259052924791,131.0
2019,4,56.483050847457626,90.0
2020,4,59.10679611650485,79.0
2018,5,63.721774193548384,115.0
2019,5,51.07934336525308,79.0
2020,5,50.81607629427793,69.0
2018,6,77.01390820584145,137.0
2019,6,46.24786324786325,79.0
2020,6,47.86395511921459,71.0
2018,7,78.63599458728011,134.0
2019,7,44.536784741144416,64.0
2020,7,53.00672043010753,74.0
2018,8,68.19137466307278,110.0
2019,8,49.92982456140351,75.0
2020,8,51.75261324041812,68.0
2018,9,68.84122562674095,121.0
2019,9,44.13361462728551,69.0
2018,10,68.98918918918919,114.0
2019,10,40.700542005420054,63.0
2018,11,66.78382147838215,116.0
2019,11,42.49226441631505,64.0
2017,12,70.2800925925926,118.0
2018,12,66.50874831763123,119.0
2019,12,45.21302578018996,72.0
