Year,Month,mean,max
2018,1,15.768145402367571,120.0
2019,1,5.597173544375353,77.0
2020,1,9.124180790960452,1089.0
2018,2,9.363355289689475,30.0
2019,2,4.875946852104805,88.0
2020,2,2.2269323671497583,10.0
2018,3,9.117640462038802,196.0
2019,3,2.459533295389869,13.0
2020,3,4.985381760935567,135.0
2018,4,8.116279069767442,112.0
2019,4,2.6422363166549214,13.0
2020,4,53.80711810183951,5592.0
2018,5,10.93942793045429,636.0
2019,5,3.8906624102154828,295.0
2020,5,4.272308901111236,93.0
2018,6,7.956370387560919,74.0
2019,6,3.680493537015276,26.0
2020,6,2.9579537491240364,47.0
2018,7,5.937774771728103,22.0
2019,7,53.50860117700317,3892.0
2020,7,2.5360233786669664,11.0
2018,8,4.8027424974710575,103.0
2019,8,9.00662400359268,334.0
2020,8,2.469132207338381,10.0
2018,9,2.693254382909555,9.0
2019,9,5.668111020025764,503.0
2018,10,3.0946052483387767,11.0
2019,10,2.174409404317848,13.0
2018,11,4.50991534268816,23.0
2019,11,2.5939151885351817,19.0
2017,12,38.504342790966994,664.0
2018,12,14.724977558348295,740.0
2019,12,9.070501974055274,1118.0
