Year,Month,mean,max
2018,1,126.87755102040816,416.0
2019,1,27.385964912280702,65.0
2020,1,19.951351351351352,92.0
2018,2,124.67363344051446,460.0
2019,2,21.65424739195231,59.0
2020,2,31.40981240981241,67.0
2018,3,64.80753701211306,139.0
2019,3,20.540983606557376,80.0
2020,3,35.21370967741935,78.0
2018,4,56.86908077994429,142.0
2019,4,26.977464788732394,65.0
2020,4,72.541782729805,165.0
2018,5,51.306451612903224,104.0
2019,5,17.989232839838493,42.0
2020,5,47.61507402422611,93.0
2018,6,93.64673157162726,229.0
2019,6,17.24893917963225,39.0
2020,6,61.628691983122366,273.0
2018,7,110.48108108108109,267.0
2019,7,14.527665317139002,31.0
2020,7,148.06317204301075,309.0
2018,8,148.28667563930014,366.0
2019,8,13.130727762803234,27.0
2020,8,74.86759581881533,138.0
2018,9,87.47148817802504,227.0
2019,9,11.471167369901547,31.0
2018,10,53.02018842530283,135.0
2019,10,8.502702702702702,26.0
2018,11,31.86889818688982,74.0
2019,11,9.76056338028169,26.0
2017,12,155.21064814814815,367.0
2018,12,22.47043010752688,55.0
2019,12,8.954177897574125,29.0
