Year,Month,mean,max
2018,1,2.487603305785124,119.0
2019,1,0.08502024291497975,2.0
2020,1,0.09594594594594595,2.0
2018,2,1.7565359477124183,36.0
2019,2,0.10879284649776454,2.0
2020,2,0.03890489913544669,1.0
2018,3,0.1695827725437416,3.0
2019,3,0.12704918032786885,2.0
2020,3,0.19489247311827956,4.0
2018,4,0.9916317991631799,102.0
2019,4,0.07183098591549296,2.0
2020,4,0.037604456824512536,1.0
2018,5,0.27553763440860213,3.0
2019,5,0.5841184387617766,14.0
2020,5,0.03763440860215054,2.0
2018,6,0.4041666666666667,4.0
2019,6,0.19350282485875706,11.0
2020,6,2.3338008415147264,31.0
2018,7,0.2608108108108108,3.0
2019,7,0.3805668016194332,3.0
2020,7,0.4798387096774194,5.0
2018,8,0.06594885598923284,2.0
2019,8,0.09703504043126684,3.0
2020,8,0.041666666666666664,1.0
2018,9,0.20305980528511822,3.0
2019,9,0.04922644163150492,1.0
2018,10,0.04704301075268817,2.0
2019,10,0.017591339648173207,1.0
2018,11,0.12691771269177127,2.0
2019,11,0.18450704225352113,9.0
2017,12,0.9189814814814815,13.0
2018,12,0.12365591397849462,2.0
2019,12,0.05660377358490566,2.0
