Year,Month,mean,max
2018,1,1070.3602966343412,2931.0
2019,1,684.7646859466787,1745.0
2020,1,620.7795922964298,1276.0
2018,2,659.3595445411922,1613.0
2019,2,487.1958033275391,1078.0
2020,2,509.847150569886,1059.0
2018,3,536.3619858791886,1211.0
2019,3,471.20666591089446,1368.0
2020,3,487.9636893421495,995.0
2018,4,455.76822038823667,1014.0
2019,4,375.2048192771084,773.0
2020,4,567.130459969876,988.0
2018,5,449.45889873275763,998.0
2019,5,375.18880412833744,763.0
2020,5,495.3921568627451,919.0
2018,6,1456.3012984001855,4668.0
2019,6,546.3464686623012,1163.0
2020,6,499.03032069970845,1180.0
2018,7,1359.5410334346504,3370.0
2019,7,1898.5830713964976,6300.0
2020,7,666.911283086586,1317.0
2018,8,1109.503870750589,3201.0
2019,8,1372.4376892877174,3709.0
2020,8,857.943976777939,1815.0
2018,9,619.3182873056394,1406.0
2019,9,608.835944808232,1459.0
2018,10,451.43692480359147,905.0
2019,10,464.2492952982298,959.0
2018,11,537.8151796060255,1281.0
2019,11,478.8186285981746,1104.0
2017,12,1204.8350376229982,2658.0
2018,12,951.619742007852,1939.0
2019,12,574.3239088971166,1174.0
