Year,Month,mean,max
2018,1,37.84800695393021,95.0
2019,1,37.63971920289855,95.0
2020,1,52.17944941656282,126.0
2018,2,33.11079660331581,100.0
2019,2,37.09954020131726,97.0
2020,2,40.09126213592233,94.0
2018,3,41.221499831857415,156.0
2019,3,32.17951642335766,76.0
2020,3,56.43170205518338,148.0
2018,4,31.991737460723844,74.0
2019,4,32.33352961959722,108.0
2020,4,75.20019143990154,170.0
2018,5,29.213668499607227,70.0
2019,5,26.91341644744367,67.0
2020,5,78.35495839892062,184.0
2018,6,31.19533426183844,80.0
2019,6,42.65138592750533,106.0
2020,6,55.05413639559409,129.0
2018,7,31.340965486126777,89.0
2019,7,48.92697398448197,118.0
2020,7,50.005286244516924,114.0
2018,8,28.90596175478065,73.0
2019,8,38.72244759972955,81.0
2020,8,41.94103911266784,85.0
2018,9,31.313233414662484,96.0
2019,9,38.89595782073814,85.0
2018,10,27.88507042253521,64.0
2019,10,41.16883852691218,92.0
2018,11,32.284668989547036,103.0
2019,11,60.23543946346629,154.0
2017,12,41.25062899167796,110.0
2018,12,41.886531986531985,117.0
2019,12,63.18630663201898,135.0
