Year,Month,mean,max
2018,1,471.8184,992.0
2019,1,346.3853625480009,728.0
2020,1,545.3700867214776,1034.0
2018,2,501.15836012861735,1100.0
2019,2,299.1620312888006,650.0
2020,2,447.5681709073452,1208.0
2018,3,387.36194531600177,842.0
2019,3,278.32698412698414,602.0
2020,3,508.5154639175258,1152.0
2018,4,299.09738524113885,658.0
2019,4,307.8259090377645,759.0
2020,4,419.9470390543516,979.0
2018,5,296.10753532182105,592.0
2019,5,309.2193425333782,642.0
2020,5,574.0684747282304,1683.0
2018,6,284.8565963366566,651.0
2019,6,366.17674581822433,768.0
2020,6,321.5969435370975,769.0
2018,7,335.2313407632557,683.0
2019,7,461.22338274932616,995.0
2020,7,399.8426247896803,789.0
2018,8,299.1012232072719,574.0
2019,8,353.1176932570403,810.0
2020,8,354.130447414294,661.0
2018,9,293.87421675562774,665.0
2019,9,354.81106691623773,737.0
2018,10,314.3784238886394,690.0
2019,10,401.08677499435794,901.0
2018,11,329.0399953628565,676.0
2019,11,458.3933333333333,938.0
2017,12,434.4437584410573,923.0
2018,12,348.95389792484576,756.0
2019,12,556.4438958707361,1199.0
