Year,Month,mean,max
2018,1,1914.4663140951943,4140.0
2019,1,1451.4528899445763,3103.0
2020,1,2348.06100586378,4718.0
2018,2,1347.3877195334496,2744.0
2019,2,1578.5589769058852,3624.0
2020,2,2146.574593618302,4110.0
2018,3,1138.5692342190828,2455.0
2019,3,1343.840168124503,3017.0
2020,3,3805.277590847914,17965.0
2018,4,1394.682906976744,4501.0
2019,4,1611.1285328955084,4214.0
2020,4,3727.3340345956053,9640.0
2018,5,1065.850106585886,3146.0
2019,5,1385.6918833727345,2800.0
2020,5,2517.7694291802177,4757.0
2018,6,1036.2423469387754,2064.0
2019,6,1844.2511726078799,5326.0
2020,6,5345.939645108569,18081.0
2018,7,990.4102535211267,1890.0
2019,7,2341.6870263544847,5498.0
2020,7,5519.112696629213,14157.0
2018,8,1242.1671906579834,3330.0
2019,8,1628.7401751628115,3022.0
2020,8,2775.758219377364,4820.0
2018,9,1315.553581794961,3084.0
2019,9,1380.2717378583968,2838.0
2018,10,1175.4731630471474,2370.0
2019,10,1813.4018987341772,5856.0
2018,11,1130.799536231884,2894.0
2019,11,1776.419086651054,3745.0
2017,12,2244.3788580246915,4399.0
2018,12,1465.2935038707506,3001.0
2019,12,2664.031345134739,5646.0
