Year,Month,mean,max
2018,1,244.6096551724138,524.0
2019,1,246.04884667571235,487.0
2020,1,252.17574931880108,494.0
2018,2,227.2936378466558,463.0
2019,2,222.81940298507462,455.0
2020,2,245.5254730713246,453.0
2018,3,232.53091397849462,470.0
2019,3,219.64569083447333,444.0
2020,3,409.34515688949523,1215.0
2018,4,237.5271210013908,502.0
2019,4,219.5028409090909,449.0
2020,4,602.0867430441898,1152.0
2018,5,228.62045760430686,420.0
2019,5,210.82079343365254,377.0
2020,5,407.48027210884356,779.0
2018,6,260.6430555555556,544.0
2019,6,243.54885057471265,453.0
2020,6,288.8806179775281,551.0
2018,7,275.46955345060894,545.0
2019,7,273.6684931506849,475.0
2020,7,308.0443548387097,550.0
2018,8,266.4102564102564,489.0
2019,8,281.0405953991881,504.0
2020,8,301.91289198606273,505.0
2018,9,239.58495821727018,505.0
2019,9,261.182841068917,491.0
2018,10,209.9810554803789,417.0
2019,10,239.6086956521739,455.0
2018,11,210.5960729312763,425.0
2019,11,241.06320224719101,478.0
2017,12,236.03935185185185,451.0
2018,12,222.76010781671158,518.0
2019,12,248.5345997286296,501.0
