Year,Month,mean,max
2018,1,39.94631901840491,131.0
2019,1,16.35546522131888,49.0
2020,1,13.63259326045306,43.0
2018,2,25.26195593766792,76.0
2019,2,14.314338919925513,39.0
2020,2,11.562049927988479,34.0
2018,3,19.15304406323579,53.0
2019,3,11.14170637621965,30.0
2020,3,11.547696446586706,31.0
2018,4,16.19893097838717,41.0
2019,4,11.273238117536877,27.0
2020,4,12.089022835284572,30.0
2018,5,15.939210408254823,197.0
2019,5,11.332884248344,243.0
2020,5,11.184366939553662,29.0
2018,6,28.21271166782649,113.0
2019,6,14.130612722170252,48.0
2020,6,12.924162874810408,53.0
2018,7,23.874451075329354,77.0
2019,7,16.51480355735675,46.0
2020,7,14.78668463006624,40.0
2018,8,13.299809181726344,29.0
2019,8,11.175011225864392,28.0
2020,8,10.143729997090485,28.0
2018,9,10.341802993386704,26.0
2019,9,8.957377049180328,23.0
2018,10,13.523156474820144,50.0
2019,10,8.967807522873603,27.0
2018,11,17.701982149066882,52.0
2019,11,11.781977764774721,41.0
2017,12,60.16174483690407,227.0
2018,12,18.758524001794527,55.0
2019,12,14.826389668725435,47.0
