Year,Month,mean,max
2018,1,246.22451790633608,455.0
2019,1,179.1608108108108,364.0
2020,1,123.10583446404343,276.0
2018,2,223.8042414355628,458.0
2019,2,164.40089418777944,326.0
2020,2,106.5904486251809,196.0
2018,3,251.75100942126514,641.0
2019,3,158.99042407660738,311.0
2020,3,156.99325236167343,390.0
2018,4,192.48050139275767,391.0
2019,4,174.159604519774,458.0
2020,4,218.65414710485132,427.0
2018,5,137.3835800807537,264.0
2019,5,136.400548696845,305.0
2020,5,226.32388663967612,455.0
2018,6,134.60833333333332,274.0
2019,6,174.98435277382646,351.0
2020,6,176.33380084151472,362.0
2018,7,137.33694181326118,246.0
2019,7,153.35102040816327,297.0
2020,7,162.34677419354838,331.0
2018,8,133.349932705249,234.0
2019,8,130.7916102841678,243.0
2020,8,141.70138888888889,231.0
2018,9,149.6234309623431,320.0
2019,9,124.76652601969057,238.0
2018,10,135.05945945945945,256.0
2019,10,136.52774018944518,279.0
2018,11,168.54114365411436,346.0
2019,11,181.44507042253522,461.0
2017,12,261.11805555555554,466.0
2018,12,183.88694481830416,399.0
2019,12,147.28184281842817,284.0
