Year,Month,mean,max
2018,1,288.3126721763085,635.0
2019,1,164.35897435897436,309.0
2020,1,205.16238159675237,390.0
2018,2,201.93964110929852,406.0
2019,2,158.54694485842026,324.0
2020,2,167.97550432276657,345.0
2018,3,154.63072776280325,325.0
2019,3,109.83060109289617,236.0
2020,3,136.2210242587601,233.0
2018,4,126.11838440111421,248.0
2019,4,87.15915492957747,163.0
2020,4,165.96373779637378,284.0
2018,5,122.45564516129032,246.0
2019,5,87.6164199192463,165.0
2020,5,173.9743935309973,309.0
2018,6,156.7260083449235,414.0
2019,6,135.71711456859973,278.0
2020,6,141.6685393258427,322.0
2018,7,203.1689189189189,396.0
2019,7,194.42857142857142,548.0
2020,7,185.6236559139785,342.0
2018,8,250.81292059219382,604.0
2019,8,190.8544474393531,456.0
2020,8,219.90277777777777,404.0
2018,9,149.1682892906815,325.0
2019,9,116.65963431786217,228.0
2018,10,143.29744279946163,283.0
2019,10,119.80945945945946,237.0
2018,11,148.68061366806137,321.0
2019,11,130.9774964838256,287.0
2017,12,327.6990740740741,612.0
2018,12,148.25537634408602,286.0
2019,12,182.71967654986523,441.0
