Year,Month,mean,max
2018,1,421.995867768595,906.0
2019,1,390.6711772665765,802.0
2020,1,131.69429347826087,234.0
2018,2,236.0505709624796,486.0
2019,2,599.7853949329359,1094.0
2020,2,111.04190751445087,208.0
2018,3,172.1507402422611,384.0
2019,3,511.73324213406295,1072.0
2020,3,206.0708446866485,458.0
2018,4,146.81337047353762,317.0
2019,4,349.8135593220339,614.0
2020,4,170.31219512195122,335.0
2018,5,158.08333333333334,307.0
2019,5,353.34199726402187,723.0
2020,5,174.1716621253406,380.0
2018,6,312.18194444444447,1192.0
2019,6,300.75714285714287,829.0
2020,6,118.44866385372714,287.0
2018,7,535.0730717185386,1211.0
2019,7,440.0326086956522,928.0
2020,7,139.45698924731184,275.0
2018,8,279.4366576819407,601.0
2019,8,214.59244264507421,390.0
2020,8,128.68055555555554,230.0
2018,9,325.8565459610028,797.0
2019,9,136.0308988764045,266.0
2018,10,259.9891745602165,611.0
2019,10,122.936400541272,239.0
2018,11,212.37569832402235,447.0
2019,11,111.75842696629213,229.0
2017,12,383.35648148148147,801.0
2018,12,325.99327052489906,840.0
2019,12,117.95663956639567,282.0
