Year,Month,mean,max
2018,1,55.80631784363947,134.0
2019,1,39.46870401810979,101.0
2020,1,42.124194095690534,108.0
2018,2,66.34028244788163,213.0
2019,2,37.15631212723658,94.0
2020,2,34.75589408777657,87.0
2018,3,66.70640349893462,203.0
2019,3,35.524498632634455,82.0
2020,3,54.15116542204119,140.0
2018,4,45.119809235779925,102.0
2019,4,32.10585744530699,70.0
2020,4,52.36759913090712,105.0
2018,5,43.56104129263914,106.0
2019,5,35.30061700182815,103.0
2020,5,42.26182185780074,88.0
2018,6,52.00997564087693,134.0
2019,6,45.668671147270366,115.0
2020,6,38.56304093567252,88.0
2018,7,67.11765369430344,160.0
2019,7,45.73995675429612,107.0
2020,7,58.48853159433326,313.0
2018,8,41.87698189587316,96.0
2019,8,35.14189265218859,78.0
2020,8,65.88188976377953,187.0
2018,9,37.25528455284553,90.0
2019,9,27.979508196721312,70.0
2018,10,53.61126126126126,178.0
2019,10,29.26151408849157,65.0
2018,11,50.249303621169915,132.0
2019,11,44.86164335253321,142.0
2017,12,57.184347826086956,133.0
2018,12,43.422848165189095,102.0
2019,12,50.023589164785555,135.0
