Year,Month,mean,max
2018,1,77.72690217391305,147.0
2019,1,63.554054054054056,130.0
2020,1,42.73549257759784,88.0
2018,2,76.27974276527331,147.0
2019,2,56.776785714285715,118.0
2020,2,38.42651296829971,75.0
2018,3,69.60834454912516,142.0
2019,3,51.21009549795362,96.0
2020,3,43.975806451612904,110.0
2018,4,66.73955431754875,137.0
2019,4,44.87165021156559,97.0
2020,4,57.700557103064064,116.0
2018,5,62.67338709677419,123.0
2019,5,43.41644204851752,90.0
2020,5,45.36290322580645,93.0
2018,6,69.85396383866481,138.0
2019,6,39.42857142857143,82.0
2020,6,35.42577030812325,71.0
2018,7,73.03243243243243,139.0
2019,7,49.097035040431265,102.0
2020,7,37.74966352624495,78.0
2018,8,67.78734858681023,123.0
2019,8,48.35175202156334,92.0
2020,8,35.35069444444444,65.0
2018,9,68.56545961002786,155.0
2019,9,44.265822784810126,94.0
2018,10,65.74059139784946,130.0
2019,10,42.74018944519621,85.0
2018,11,66.33891213389121,137.0
2019,11,44.419127988748244,97.0
2017,12,76.04166666666667,138.0
2018,12,67.04435483870968,136.0
2019,12,43.392712550607285,97.0
