Year,Month,mean,max
2018,1,276.92275862068965,393.0
2019,1,292.4871794871795,428.0
2020,1,293.0607287449393,407.0
2018,2,281.5774877650897,430.0
2019,2,288.51117734724295,401.0
2020,2,292.7031700288184,403.0
2018,3,268.74528301886795,382.0
2019,3,274.6366120218579,405.0
2020,3,329.1760752688172,489.0
2018,4,268.3272980501393,384.0
2019,4,273.06901408450705,389.0
2020,4,362.02642559109876,483.0
2018,5,253.0268817204301,370.0
2019,5,280.1870794078062,386.0
2020,5,334.6917900403769,445.0
2018,6,258.55833333333334,368.0
2019,6,278.16407355021215,380.0
2020,6,350.8095238095238,473.0
2018,7,266.8310810810811,378.0
2019,7,283.34501347708897,384.0
2020,7,339.2678331090175,462.0
2018,8,259.37735849056605,360.0
2019,8,279.96900269541777,369.0
2020,8,327.7237762237762,439.0
2018,9,260.9068150208623,361.0
2019,9,268.47819971870604,364.0
2018,10,256.375,366.0
2019,10,265.9972972972973,367.0
2018,11,263.3291492329149,387.0
2019,11,273.6573033707865,395.0
2017,12,254.22453703703704,383.0
2018,12,278.68951612903226,425.0
2019,12,282.0579514824798,396.0
