Year,Month,mean,max
2018,1,810.783564152455,1595.0
2019,1,494.46013101423085,862.0
2020,1,742.9591031996395,1313.0
2018,2,723.4518031907762,1340.0
2019,2,460.00062096373574,851.0
2020,2,715.9953198127926,1349.0
2018,3,708.2158071748879,1354.0
2019,3,535.1088682240871,1049.0
2020,3,743.898306985088,1363.0
2018,4,665.1214410226612,1205.0
2019,4,569.8515917602996,1040.0
2020,4,688.3577971014493,1074.0
2018,5,681.5242849130678,1218.0
2019,5,533.6540965207632,939.0
2020,5,596.4780854164331,950.0
2018,6,736.3490018570102,1301.0
2019,6,527.2374210156798,881.0
2020,6,545.5834305717619,805.0
2018,7,620.8737896870074,951.0
2019,7,395.74912891986065,631.0
2020,7,549.2255276156264,830.0
2018,8,612.935921894288,940.0
2019,8,672.7338573834924,1200.0
2020,8,568.5232558139535,849.0
2018,9,613.0334184265491,1097.0
2019,9,518.3931163661906,917.0
2018,10,592.7223095933498,1038.0
2019,10,441.44768032509313,811.0
2018,11,583.3214699744957,1132.0
2019,11,486.7977291349643,859.0
2017,12,935.0628858024692,1769.0
2018,12,483.5374607447286,858.0
2019,12,685.5935780846526,1228.0
