Year,Month,mean,max
2018,1,120.60952380952381,244.0
2019,1,125.76891891891891,230.0
2020,1,97.46081081081081,200.0
2018,2,106.52979066022544,244.0
2019,2,102.91356184798808,226.0
2020,2,92.48126801152738,167.0
2018,3,199.25168236877525,505.0
2019,3,76.58743169398907,154.0
2020,3,99.22177419354838,178.0
2018,4,88.44846796657382,173.0
2019,4,63.5148095909732,125.0
2020,4,100.46433566433566,169.0
2018,5,79.50403225806451,149.0
2019,5,62.66621621621621,138.0
2020,5,84.59757738896366,154.0
2018,6,85.84840055632823,207.0
2019,6,72.80878186968839,217.0
2020,6,149.5546218487395,544.0
2018,7,105.92837837837838,197.0
2019,7,141.34652114597543,382.0
2020,7,183.4777927321669,392.0
2018,8,77.35397039030956,136.0
2019,8,128.31216216216217,258.0
2020,8,105.42857142857143,171.0
2018,9,66.95403899721448,140.0
2019,9,72.76371308016877,148.0
2018,10,83.28378378378379,175.0
2019,10,81.33288227334235,182.0
2018,11,99.91213389121339,219.0
2019,11,98.21488764044943,221.0
2017,12,138.76038338658148,261.0
2018,12,101.5114401076716,238.0
2019,12,87.65135135135135,182.0
