Year,Month,mean,max
2018,1,215.74242424242425,524.0
2019,1,146.17331499312243,417.0
2020,1,190.1608280254777,468.0
2018,2,211.18923327895595,704.0
2019,2,137.39779874213838,370.0
2020,2,158.46256239600666,312.0
2018,3,125.30779569892474,278.0
2019,3,137.2882615156018,304.0
2020,3,155.10289855072463,282.0
2018,4,98.50627615062761,188.0
2019,4,94.38846737481032,178.0
2020,4,460.77758620689656,1810.0
2018,5,103.68548387096774,190.0
2019,5,111.16738197424893,225.0
2020,5,171.19176136363637,314.0
2018,6,165.84540389972145,789.0
2019,6,185.1012658227848,695.0
2020,6,153.0,517.0
2018,7,234.224795640327,831.0
2019,7,320.0845921450151,1111.0
2020,7,369.7906336088154,1377.0
2018,8,107.04607046070461,213.0
2019,8,120.24684431977559,231.0
2020,8,293.31159420289856,618.0
2018,9,97.18016759776536,192.0
2019,9,100.28353658536585,195.0
2018,10,84.98509485094851,167.0
2019,10,92.6728837876614,175.0
2018,11,126.40462427745665,544.0
2019,11,95.36163982430453,337.0
2017,12,220.38194444444446,468.0
2018,12,161.06756756756758,412.0
2019,12,189.31075110456553,463.0
