Year,Month,mean,max
2018,1,1.0855172413793104,113.0
2019,1,0.12955465587044535,2.0
2020,1,0.3621621621621622,2.0
2018,2,0.3322422258592471,7.0
2019,2,0.13988095238095238,2.0
2020,2,0.2992805755395683,2.0
2018,3,0.23687752355316286,4.0
2019,3,0.12534059945504086,3.0
2020,3,0.0431266846361186,2.0
2018,4,0.21279554937413073,3.0
2019,4,0.15611814345991562,4.0
2020,4,0.05013927576601671,2.0
2018,5,0.15456989247311828,3.0
2019,5,0.1760752688172043,2.0
2020,5,0.07951482479784366,2.0
2018,6,0.18611111111111112,3.0
2019,6,0.29320113314447593,5.0
2020,6,0.03081232492997199,1.0
2018,7,0.1527027027027027,4.0
2019,7,0.351278600269179,12.0
2020,7,0.026881720430107527,1.0
2018,8,0.20833333333333334,15.0
2019,8,0.27994616419919244,2.0
2020,8,0.07291666666666667,1.0
2018,9,0.12378303198887343,3.0
2019,9,0.23769338959212377,3.0
2018,10,0.21505376344086022,3.0
2019,10,0.22027027027027027,3.0
2018,11,0.22423398328690808,5.0
2019,11,0.32208157524613223,3.0
2017,12,31.256944444444443,532.0
2018,12,0.16666666666666666,3.0
2019,12,0.3405114401076716,2.0
