Year,Month,mean,max
2018,1,901.0347309493887,2287.0
2019,1,514.1206098249577,1108.0
2020,1,596.3932191935121,1316.0
2018,2,966.6733217204877,2714.0
2019,2,504.8629252545319,1155.0
2020,2,466.51007677543186,931.0
2018,3,549.1024089635854,1227.0
2019,3,408.05476811429867,901.0
2020,3,435.7930957184488,709.0
2018,4,446.01801906533365,846.0
2019,4,397.36206291661796,967.0
2020,4,499.34078794901507,1527.0
2018,5,405.02635119982057,826.0
2019,5,418.57601256591494,1126.0
2020,5,834.0207306140744,2383.0
2018,6,666.0295617899374,2105.0
2019,6,393.0592843779233,1026.0
2020,6,798.5541564649644,2144.0
2018,7,1162.895193065406,3309.0
2019,7,466.77570722945666,996.0
2020,7,883.9973082099597,1952.0
2018,8,591.8523504992708,1074.0
2019,8,424.3028161112981,1099.0
2020,8,639.434542815675,941.0
2018,9,703.0491936419538,2512.0
2019,9,461.70994152046785,1408.0
2018,10,526.2164254459777,1135.0
2019,10,352.54342431761785,732.0
2018,11,586.6485108355545,1659.0
2019,11,429.4291730026904,1237.0
2017,12,1288.4970094539842,3409.0
2018,12,541.385866517106,1289.0
2019,12,606.1052395377538,1393.0
