Year,Month,mean,max
2018,1,920.7133418337777,1608.0
2019,1,666.0344086021505,1235.0
2020,1,730.0247541539505,1292.0
2018,2,900.6946083690987,1672.0
2019,2,625.9490746491119,1110.0
2020,2,719.2333172147002,1236.0
2018,3,912.6548980049316,2114.0
2019,3,650.8718970621726,1110.0
2020,3,896.3673469387755,1601.0
2018,4,778.9996512033484,1313.0
2019,4,738.062617481203,1523.0
2020,4,1118.425223516662,1612.0
2018,5,742.9564729638771,1286.0
2019,5,677.557736193519,1109.0
2020,5,1288.0365922101246,2251.0
2018,6,821.6825986078886,1368.0
2019,6,803.9843437316068,1398.0
2020,6,915.016717325228,1384.0
2018,7,874.1665914730431,1355.0
2019,7,835.2282633371169,1281.0
2020,7,869.2476393884892,1341.0
2018,8,754.1385203507983,1145.0
2019,8,730.7512085441259,1091.0
2020,8,788.5734693877552,1076.0
2018,9,760.3609756097561,1386.0
2019,9,622.4170960187354,1132.0
2018,10,731.5327628912407,1235.0
2019,10,657.2457904848005,1111.0
2018,11,738.4479118329466,1349.0
2019,11,755.8761602631888,1364.0
2017,12,1010.0073302469136,1673.0
2018,12,704.2500280552126,1287.0
2019,12,739.397156718944,1286.0
