Year,Month,mean,max
2018,1,92.5625,263.0
2019,1,29.50408719346049,101.0
2020,1,59.4923928077455,174.0
2018,2,80.98234349919743,192.0
2019,2,20.563253012048193,80.0
2020,2,41.73834586466165,153.0
2018,3,66.98655913978494,188.0
2019,3,19.87845303867403,63.0
2020,3,51.128133704735376,156.0
2018,4,54.3983286908078,139.0
2019,4,22.71776504297994,76.0
2020,4,58.43687707641196,151.0
2018,5,37.66756393001346,116.0
2019,5,20.10576923076923,68.0
2020,5,34.72099447513812,104.0
2018,6,53.5933147632312,141.0
2019,6,28.331369661266567,77.0
2020,6,29.439265536723163,80.0
2018,7,51.24492557510149,133.0
2019,7,35.742616033755276,94.0
2020,7,31.86216216216216,90.0
2018,8,44.21621621621622,125.0
2019,8,37.00819672131148,91.0
2020,8,23.8397212543554,48.0
2018,9,29.21727019498607,114.0
2019,9,20.850852272727273,62.0
2018,10,21.786197564276048,129.0
2019,10,17.66575716234652,49.0
2018,11,31.74188998589563,149.0
2019,11,26.32909604519774,136.0
2017,12,116.30031948881789,262.0
2018,12,30.770580296896085,142.0
2019,12,40.43638850889193,175.0
