Year,Month,mean,max
2018,1,115.74758620689656,196.0
2019,1,77.630081300813,135.0
2020,1,174.60544217687075,459.0
2018,2,106.0326264274062,202.0
2019,2,71.85991058122205,124.0
2020,2,121.0592485549133,219.0
2018,3,97.86541049798116,180.0
2019,3,66.69083447332422,116.0
2020,3,153.12108843537416,250.0
2018,4,108.97353760445682,185.0
2019,4,66.38135593220339,119.0
2020,4,153.85691056910568,245.0
2018,5,94.60215053763442,170.0
2019,5,70.69410150891632,168.0
2020,5,154.7278911564626,246.0
2018,6,97.9375,172.0
2019,6,100.11253561253561,185.0
2020,6,122.45224719101124,195.0
2018,7,96.76725304465494,157.0
2019,7,92.57356948228883,245.0
2020,7,109.01344086021506,171.0
2018,8,93.36486486486487,154.0
2019,8,83.8554054054054,148.0
2020,8,104.93402777777777,172.0
2018,9,88.89958158995816,163.0
2019,9,79.71167369901548,146.0
2018,10,74.56427604871448,139.0
2019,10,71.95,161.0
2018,11,71.90629370629371,129.0
2019,11,130.09563994374122,224.0
2017,12,120.63425925925925,190.0
2018,12,73.49595687331536,117.0
2019,12,112.0840108401084,183.0
