Year,Month,mean,max
2018,1,129.2537931034483,333.0
2019,1,109.58653846153847,269.0
2020,1,160.5562805872757,335.0
2018,2,116.57911908646004,263.0
2019,2,117.33597464342314,253.0
2020,2,166.51027397260273,319.0
2018,3,106.81720430107526,253.0
2019,3,115.2089552238806,274.0
2020,3,148.14410480349346,312.0
2018,4,110.33426183844011,268.0
2019,4,111.04615384615384,317.0
2020,4,141.05226480836237,487.0
2018,5,101.81157469717363,255.0
2019,5,114.22109826589596,286.0
2020,5,174.9257142857143,369.0
2018,6,133.5640668523677,406.0
2019,6,121.06709265175719,368.0
2020,6,159.41040462427745,341.0
2018,7,129.92527173913044,300.0
2019,7,130.3489425981873,350.0
2020,7,173.9048275862069,380.0
2018,8,105.47831978319783,250.0
2019,8,113.63559322033899,246.0
2020,8,144.88447653429603,284.0
2018,9,94.09483960948396,220.0
2019,9,126.49004594180704,333.0
2018,10,89.80623306233062,221.0
2019,10,114.76571428571428,327.0
2018,11,95.89450867052022,250.0
2019,11,159.86470588235295,405.0
2017,12,148.55324074074073,377.0
2018,12,111.90405405405406,268.0
2019,12,164.9546827794562,353.0
